id,study_title,study_link,resultIA_no_fine_tunning,resultIA_fine_tunning,study_type,study_year,cannabinoids,organ_systems,study_conditions
20211193,Cancer patient's attitudes of using medicinal cannabis for sleep,https://pubmed.ncbi.nlm.nih.gov/33847549/,Positive,,Meta-analysis,2021,,Nervous System,Cancer; Insomnia and Sleep Disorders
20211194,Role of marijuana components on the regenerative ability of stem cells,https://pubmed.ncbi.nlm.nih.gov/33349985/,Positive,,Laboratory Study,2021,,Immune System; Integumentary System; Nervous System,Wound Healing
20211195,In silico inquest reveals the efficacy of Cannabis in the treatment of post-Covid-19 related neurodegeneration,https://pubmed.ncbi.nlm.nih.gov/33810774/,Positive,,Laboratory Study,2021,,Respiratory System,COVID-19
20211196,Cannabis sativa and Skin Health: Dissecting the Role of Phytocannabinoids,https://pubmed.ncbi.nlm.nih.gov/33851375/,Positive,,Meta-analysis,2021,,Integumentary System,Acne; Cancer - Melanoma; Pruritis; Psoriasis; Seborrhea; Skin Diseases
20211197,Associations between adolescent cannabis use and young-adult functioning in three longitudinal twin studies,https://pubmed.ncbi.nlm.nih.gov/33782115/,Negative,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Cannabis Adverse Effects; Cognitive Dysfunction
20211198,The role of cannabis in pain management among people living with HIV who use drugs: A qualitative study,https://pubmed.ncbi.nlm.nih.gov/33843074/,Positive,,Meta-analysis,2021,,Immune System,HIV/AIDS
20211199,Trait mindfulness and cannabis use-related factors in adolescents and young adults with frequent use,https://pubmed.ncbi.nlm.nih.gov/33798028/,Positive,,Meta-analysis,2021,Mind-Body Medicine,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction
20211200,"Cannabis use, pulmonary function, and lung cancer susceptibility: A Mendelian randomization study",https://pubmed.ncbi.nlm.nih.gov/33852959/,Negative,,Meta-analysis,2021,,Integumentary System,Cancer - Squamous Head/Neck; Cancer
20211201,Archaeobotanical evidence of the use of medicinal cannabis in a secular context unearthed from South China,https://pubmed.ncbi.nlm.nih.gov/33848611/,Positive,,Meta-analysis,2021,,,Arthritis - Osteoarthritis; Arthritis; Menstrual Disorders; Pain; Pain - Chronic
20211202,Cannabis-based medicines and pain: a review of potential synergistic and entourage effects,https://www.futuremedicine.com/doi/10.2217/pmt-2020-0110,Positive,,Meta-analysis,2021,,,Pain; Pain - Acute; Pain - Chronic
20211203,"Cannabis, schizophrenia genetic risk, and psychotic experiences: a cross-sectional study of 109,308 participants from the UK Biobank",https://pubmed.ncbi.nlm.nih.gov/33837184/,Negative,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Psychosis; Schizophrenia
20211204,Association of Cannabis Use With Self-harm and Mortality Risk Among Youths With Mood Disorders,https://pubmed.ncbi.nlm.nih.gov/33464286/,Negative,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction
20211205,Craving management: Exploring factors that influence momentary craving-related risk of cannabis use among young adults,https://pubmed.ncbi.nlm.nih.gov/33383565/,Inconclusive,,Meta-analysis,2021,Mind-Body Medicine,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction
20211206,A systematic review of neuroimaging and acute cannabis exposure in age-of-risk for psychosis,https://www.nature.com/articles/s41398-021-01295-w,Inconclusive,,Meta-analysis,2021,,Mental/Emotional System,Psychosis; Schizophrenia
20211207,Hot-Water Bathing Improves Symptoms in Patients with Cyclic Vomiting Syndrome and Is Modulated by Chronic Cannabis Use,https://pubmed.ncbi.nlm.nih.gov/32472256/,Negative,,Meta-analysis,2021,,,Cannabis Hyperemesis Syndrome
20211208,Inhaled Cannabis Suppresses Chemotherapy-Induced Neuropathic Nociception by Decoupling the Raphe Nucleus: A Functional Imaging Study in Rats,https://pubmed.ncbi.nlm.nih.gov/33622657/,Positive,,Animal Study,2021,Tetrahydrocannabinol (THC),,Pain; Pain - Neuropathy - Drug-Ind. Polyneuropathy
20211209,Cannabis attitudes and patterns of use among followers of the Allergy & Asthma Network,https://pubmed.ncbi.nlm.nih.gov/33465453/,Positive,,Meta-analysis,2021,,Respiratory System,Asthma
20211210,Cannabis use disorder and perioperative outcomes in vascular surgery,https://pubmed.ncbi.nlm.nih.gov/32861869/,Negative,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction; Cardiovascular Diseases (CVD); Heart Attack; Stroke; Wound Healing
20211211,Cannabinoids in Neurologic Illnesses,https://pubmed.ncbi.nlm.nih.gov/33223086/,Inconclusive,,Meta-analysis,2021,,Nervous System,Neurodegenerative Issues
2020382,HCV-Related Mortality Among HIV/HCV Co-infected Patients: The Importance of Behaviors in the HCV Cure Era (ANRS CO13 HEPAVIH Cohort),https://pubmed.ncbi.nlm.nih.gov/31286317/,Positive,,Meta-analysis,2020,,Digestive System; Immune System,Hepatitis; HIV/AIDS
20211212,A patient perspective of complementary and integrative medicine (CIM) for migraine treatment: a social media survey,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877058/,Inconclusive,,Meta-analysis,2021,Mind-Body Medicine,Nervous System,Migraine
2018158,Associations Between Marijuana Use and Cardiovascular Risk Factors and Outcomes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6157910/,Inconclusive,,Meta-analysis,2018,,Cardiovascular System,Cardiovascular Diseases (CVD)
20211213,Marijuana Use Among Adult Liver Transplant Candidates and Recipients,https://pubmed.ncbi.nlm.nih.gov/33829569/,Inconclusive,,Meta-analysis,2021,,Immune System,Organ Transplant Failure
20211214,Cannabis in Parkinson's Disease: The Patients' View,https://pubmed.ncbi.nlm.nih.gov/33216043/,Positive,,Meta-analysis,2021,,Nervous System,Parkinson's Disease
2019159,Weeding through the haze: a survey on cannabis use among people living with Parkinson's disease in the US,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7930177/,Positive,,Meta-analysis,2019,,Nervous System,Parkinson's Disease
20211215,"No pain, all gain? Interim analyses from a longitudinal, observational study examining the impact of medical cannabis treatment on chronic pain and related symptoms",https://pubmed.ncbi.nlm.nih.gov/33764103/,Positive,,Meta-analysis,2021,,Nervous System,Pain; Pain - Chronic; Anxiety; Insomnia and Sleep Disorders
20211216,Cannabis use is associated with reduced risk of exposure to fentanyl among people on opioid agonist therapy during a community-wide overdose crisis,https://pubmed.ncbi.nlm.nih.gov/33342591/,Positive,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Opioid; Addiction
20211217,Cannabis Significantly Reduces the Use of Prescription Opioids and Improves Quality of Life in Authorized Patients: Results of a Large Prospective Study,https://pubmed.ncbi.nlm.nih.gov/33367882/,Positive,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Opioid; Addiction; Pain; Pain - Chronic
20211218,The impact of medical and recreational marijuana laws on opioid prescribing in employer‐sponsored health insurance,https://pubmed.ncbi.nlm.nih.gov/33624387/,Positive,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Opioid; Addiction
20211219,Cannabis Use and Nonfatal Opioid Overdose among Patients Enrolled in Methadone Maintenance Treatment,https://pubmed.ncbi.nlm.nih.gov/33749499/,Positive,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Opioid; Addiction
20211220,"AM251, a cannabinoid receptor 1 antagonist, prevents human fibroblasts differentiation and collagen deposition induced by TGF-β - An in vitro study",https://pubmed.ncbi.nlm.nih.gov/33220269/,Positive,,Animal Study,2021,AM-x Synthetic Cannabinoids; Synthetic Cannabinoid (unspecified),Integumentary System,Fibrosis - Skin; Fibrosis
20211221,Cannabidiol reduces soman-induced lethality and seizure severity in female plasma carboxylesterase knockout mice treated with midazolam,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7856212/,Positive,,Animal Study,2021,,Nervous System,Epilepsy
20211222,Allosteric modulation of the cannabinoid 2 receptor confers seizure resistance in mice,https://pubmed.ncbi.nlm.nih.gov/33450277/,Positive,,Animal Study,2021,Synthetic Cannabinoid (unspecified),,Epilepsy
20211223,A scoping review on the effect of cannabis on pain intensity in people with spinal cord injury,https://pubmed.ncbi.nlm.nih.gov/33465022/,Inconclusive,,Meta-analysis,2021,,Skeletal System,Spinal Cord Injuries
20211224,Cannabis sativa Linnaeus as traditional phytomedicine by folk medicine practitioners of Bangladesh,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7980557/,Positive,,Meta-analysis,2021,,,Arthritis - Rheumatoid; Arthritis; Bacterial Infections; Cancer; Cardiovascular Diseases (CVD); Hypertension (High Blood Pressure); Insomnia and Sleep Disorders; Pruritis
20211225,Prenatal Cannabinoid Exposure: Emerging Evidence of Physiological and Neuropsychiatric Abnormalities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7841012/,Negative,,Meta-analysis,2021,Tetrahydrocannabinol (THC),Reproductive System,Pregnancy
20211226,Advancing the science on cannabis concentrates and behavioural health,https://pubmed.ncbi.nlm.nih.gov/33783029/,Negative,,Meta-analysis,2021,,Mental/Emotional System,Cannabis Adverse Effects
20211227,"Opportunities, Challenges and Pitfalls of Using Cannabidiol as an Adjuvant Drug in COVID-19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922403/,Positive,,Meta-analysis,2021,,Respiratory System,COVID-19
20211228,The Endocannabinoid System Contributes to Electroacupuncture Analgesia,https://pubmed.ncbi.nlm.nih.gov/33679287/,Positive,,Meta-analysis,2021,,,Inflammation; Pain; Pain - Acute; Pain - Chronic
20211229,Cannabinoid Signalling in Immune-Reproductive Crosstalk during Human Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8000565/,Negative,,Meta-analysis,2021,,Reproductive System,Pregnancy
20211230,Cannabinoid Use for Appetite Stimulation and Weight Gain in Cancer Care: Does Recent Evidence Support an Update of the European Society for Clinical Nutrition and Metabolism Clinical Guidelines?,https://pubmed.ncbi.nlm.nih.gov/33666957/,Inconclusive,,Meta-analysis,2021,,Digestive System; Muscular System; Nervous System,Anorexia; Cachexia; Cancer
20211231,The antimicrobial effect behind Cannabis sativa,https://bpspubs.onlinelibrary.wiley.com/doi/10.1002/prp2.761,Positive,,Meta-analysis,2021,Anandamide (AEA); Cannabichromene (CBC); Cannabichromenic Acid (CBC-a); Cannabidiolic Acid (CBD-a); Cannabigerol (CBG); Cannabigerolic Acid (CBG-a); Cannabinol (CBN); Tetrahydrocannabinolic Acid (THC-a),Immune System,Bacterial Infections
20211232,Effects of Cannabinoid Agonists and Antagonists on Sleep in Laboratory Animals,https://pubmed.ncbi.nlm.nih.gov/33537939/,Positive,,Meta-analysis,2021,,,Insomnia and Sleep Disorders
20211233,Use of Medical Cannabis to Treat Traumatic Brain Injury,https://pubmed.ncbi.nlm.nih.gov/33256496/,Positive,,Meta-analysis,2021,,,Traumatic Brain Injury
20211234,Cannabis and Migraine: It's Complicated,https://pubmed.ncbi.nlm.nih.gov/33630181/,Positive,,Meta-analysis,2021,Tetrahydrocannabinol (THC),Nervous System,Migraine
20211235,Time-Dependent Changes in THC Concentrations in Deceased Persons,https://pubmed.ncbi.nlm.nih.gov/32435813/,Positive,,Laboratory Study,2021,Tetrahydrocannabinol (THC),,
20211236,"A systematic review and meta-analysis of cannabis-based medicines, cannabinoids and endocannabinoid system modulators tested for antinociceptive effects in animal models of injury-related or pathological persistent pain",https://pubmed.ncbi.nlm.nih.gov/33729209/,Positive,,Meta-analysis,2021,Other Related Compounds,Nervous System,Pain - Nociceptive; Pain; Pain - Chronic; Pain - Inflammatory; Pain - Neuropathy - Peripheral
20211237,The Effect of CB1 Antagonism on Hepatic Oxidative/Nitrosative Stress and Inflammation in Nonalcoholic Fatty Liver Disease,https://pubmed.ncbi.nlm.nih.gov/32124686/,Positive,,Meta-analysis,2021,Endocannabinoid (unspecified),Digestive System,Fatty Liver Disease; Inflammation; Oxidative Stress
20211238,Non-Cannabinoid Metabolites of Cannabis sativa L. with Therapeutic Potential,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923270/,Positive,,Meta-analysis,2021,,,COVID-19
20211239,The Immunopathology of COVID-19 and the Cannabis Paradigm,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7907157/,Inconclusive,,Meta-analysis,2021,,Respiratory System,COVID-19
20211240,Endocannabinoids and cortical plasticity: CB1R as a possible regulator of the excitation/inhibition balance in health and disease,https://pubmed.ncbi.nlm.nih.gov/33427341/,Positive,,Meta-analysis,2021,Endocannabinoid (unspecified),Mental/Emotional System; Nervous System,Schizophrenia; Psychosis
20211241,Medical Cannabis in Oncology: a Valuable Unappreciated Remedy or an Undesirable Risk?,https://pubmed.ncbi.nlm.nih.gov/33439370/,Inconclusive,,Meta-analysis,2021,,Nervous System,Cancer; Anxiety; Cachexia; Depression; Insomnia and Sleep Disorders; Pain; Nausea and Vomiting; Palliative Care; Pain - Cancer
20211242,"Novel selective agonist of GPR18, PSB-KK-1415 exerts potent anti-inflammatory and anti-nociceptive activities in animal models of intestinal inflammation and inflammatory pain",https://pubmed.ncbi.nlm.nih.gov/33058313/,Positive,,Animal Study,2021,Synthetic Cannabinoid (unspecified),Digestive System; Nervous System,IBD - Inflammatory Bowel Disease; Inflammation; Pain; Pain - Inflammatory; Pain - Neuropathy - Inflammatory Polyneuropathy
20211243,Targeting the CB 2 receptor and other endocannabinoid elements to delay disease progression in amyotrophic lateral sclerosis,https://pubmed.ncbi.nlm.nih.gov/33486755/,Positive,,Meta-analysis,2021,Synthetic Cannabinoid (unspecified); Endocannabinoid (unspecified),Nervous System,Amyotrophic Lateral Sclerosis (ALS)
20211244,Crosstalk between the transcriptional regulation of dopamine D2 and cannabinoid CB1 receptors in schizophrenia: Analyses in patients and in perinatal Δ9-tetrahydrocannabinol-exposed rats,https://pubmed.ncbi.nlm.nih.gov/33285233/,Positive,,Animal Study,2021,Tetrahydrocannabinol (THC),Mental/Emotional System; Nervous System,Schizophrenia; Psychosis
20211245,Transcranial direct current stimulation (tDCS) produce anti-anxiety response in acute stress exposure rats via activation of amygdala CB1R,https://pubmed.ncbi.nlm.nih.gov/33279640/,Positive,,Animal Study,2021,,Mental/Emotional System; Nervous System,Anxiety
20211246,"Modulation of Noradrenergic and Serotonergic Systems by Cannabinoids: Electrophysiological, Neurochemical and Behavioral Evidence",https://pubmed.ncbi.nlm.nih.gov/33537940/,Positive,,Meta-analysis,2021,,,Anxiety; Insomnia and Sleep Disorders; Pain; Pain - Acute; Pain - Chronic
20211247,"Effect of acute and subchronic administration of (R)-WIN55,212-2 induced neuroprotection and anti inflammatory actions in rat retina: CB1 and CB2 receptor involvement",https://pubmed.ncbi.nlm.nih.gov/33220388/,Positive,,Animal Study,2021,WIN-x Synthetic Cannabinoids,Nervous System,Retinal Disorders; Excitotoxicity
20211248,Chronic cannabidiol treatment reduces the carbachol-induced coronary constriction and left ventricular cardiomyocyte width of the isolated hypertensive rat heart,https://pubmed.ncbi.nlm.nih.gov/33338514/,Inconclusive,,Animal Study,2021,,Cardiovascular System,Cardiovascular Diseases (CVD); Hypertension (High Blood Pressure)
20211249,CB1 Receptor Signaling Modulates Amygdalar Plasticity during Context-Cocaine Memory Reconsolidation to Promote Subsequent Cocaine Seeking,https://pubmed.ncbi.nlm.nih.gov/33257326/,Positive,,Animal Study,2021,AM-x Synthetic Cannabinoids,Mental/Emotional System,Addiction - Cocaine; Addiction
20211250,Activation of the cannabinoid receptor type 2 by the agonist JWH133 promotes the first wave of in vitro spermatogenesis,https://pubmed.ncbi.nlm.nih.gov/33112479/,Positive,,Laboratory Study,2021,JWH-x Synthetic Cannabinoids,Reproductive System,Infertility (Male); Cancer
20211251,URB597 Prevents the Short-Term Excitotoxic Cell Damage in Rat Cortical Slices: Role of Cannabinoid 1 Receptors,https://pubmed.ncbi.nlm.nih.gov/33141426/,Positive,,Laboratory Study,2021,Anandamide (AEA); Fatty Acid Amide Hydrolase (FAAH),,Excitotoxicity
20211252,β-Caryophyllene exerts protective antioxidant effects through the activation of NQO1 in the MPTP model of Parkinson's disease,https://pubmed.ncbi.nlm.nih.gov/33271195/,Positive,,Animal Study,2021,,,Parkinson's Disease
20211253,Stroke and cannabis use in patients with no cardiovascular risk factors: a systematic review of case reports,https://pubmed.ncbi.nlm.nih.gov/29277524/,Negative,,Meta-analysis,2021,,,Stroke
20211254,Effects of systemic endocannabinoid manipulation on social and exploratory behavior in prairie voles (Microtus ochrogaster),https://pubmed.ncbi.nlm.nih.gov/33130926/,Inconclusive,,Animal Study,2021,Anandamide (AEA),,Anxiety
20211255,"Chronic cannabinoid exposure produces tolerance to the dopamine releasing effects of WIN 55,212-2 and heroin in adult male rats",https://pubmed.ncbi.nlm.nih.gov/33115642/,Inconclusive,,Animal Study,2021,WIN-x Synthetic Cannabinoids,,Addiction - Opioid
20211256,Further evidence of anxiety- and depression-like behavior for total genetic ablation of cannabinoid receptor type 1,https://pubmed.ncbi.nlm.nih.gov/33171148/,Positive,,Animal Study,2021,,Mental/Emotional System,Anxiety; Depression
20211257,Δ-9-tetrahydrocannabinol dose increase leads to warfarin drug interaction and elevated INR,https://pubmed.ncbi.nlm.nih.gov/32828704/,Negative,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Cannabis Adverse Effects; Bleeding Disorders
20211258,Should You Recommend Cannabinoids for This Patient With Painful Neuropathy? : Grand Rounds Discussion From Beth Israel Deaconess Medical Center,https://pubmed.ncbi.nlm.nih.gov/33556279/,Positive,,Meta-analysis,2021,,,Pain; Pain - Chronic
20211259,A cannabinoid type 2 (CB2) receptor agonist augments NOS-dependent responses of cerebral arterioles during type 1 diabetes,https://pubmed.ncbi.nlm.nih.gov/32979391/,Positive,,Animal Study,2021,JWH-x Synthetic Cannabinoids,Endocrine System,Diabetes
20211260,Interaction of cannabidiol with other antiseizure medications: A narrative review,https://pubmed.ncbi.nlm.nih.gov/33541771/,Positive,,Meta-analysis,2021,,,Epilepsy
20211261,From a Designer Drug to the Discovery of Selective Cannabinoid Type 2 Receptor Agonists with Favorable Pharmacokinetic Profiles for the Treatment of Systemic Sclerosis,https://pubmed.ncbi.nlm.nih.gov/33382613/,Positive,,Animal Study,2021,Synthetic Cannabinoid (unspecified),Integumentary System,Systemic Sclerosis
20211262,"Cannabinoid and Opioid Use Among Total Joint Arthroplasty Patients: A 6-Year, Single-Institution Study",https://pubmed.ncbi.nlm.nih.gov/33002174/,Positive,,Meta-analysis,2021,,Mental/Emotional System,Addiction - Opioid; Addiction; Pain; Pain - Acute; Pain - Chronic; Wound Healing
20211263,Therapeutic and Cosmetic Uses of Cannabis: Cannabinoids for Acne Treatment and Skin -Rejuvenation,https://pubmed.ncbi.nlm.nih.gov/33658112/,Positive,,Meta-analysis,2021,Endocannabinoid (unspecified); Synthetic Cannabinoid (unspecified),Integumentary System,Acne
20211264,Endocannabinoids increase human adipose stem cell differentiation and growth factor secretion in vitro,https://pubmed.ncbi.nlm.nih.gov/33459498/,Positive,,Laboratory Study,2021,2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA),,
20211265,Morbidity and mortality associated with prescription cannabinoid drug use in COPD,https://pubmed.ncbi.nlm.nih.gov/32999059/,Negative,,Meta-analysis,2021,,Respiratory System,COPD
20211266,The Activation of Cannabinoid Type-2 Receptor with JWH-133 Protects Uterine Ischemia/Reperfusion-Induced Damage,https://pubmed.ncbi.nlm.nih.gov/33105141/,Positive,,Animal Study,2021,JWH-x Synthetic Cannabinoids,Cardiovascular System,Cardiovascular Diseases (CVD); Reperfusion Injury
20211267,Cannabidiol Therapy for Refractory Epilepsy and Seizure Disorders,https://pubmed.ncbi.nlm.nih.gov/33332006/,Positive,,Meta-analysis,2021,,,Epilepsy
20211268,"Antinociceptive effects of minor cannabinoids, terpenes and flavonoids in Cannabis",https://pubmed.ncbi.nlm.nih.gov/33709984/,Positive,,Meta-analysis,2021,,,Pain; Pain - Acute; Pain - Chronic
20211269,Δ9-Tetrahydrocannabinolic Acid markedly alleviates liver fibrosis and inflammation in mice,https://pubmed.ncbi.nlm.nih.gov/33341026/,Positive,,Animal Study,2021,Tetrahydrocannabinolic Acid (THC-a),Digestive System,Fibrosis - Liver (Cirrhosis); Fibrosis; Inflammation
2019160,Preinjury Use of Marijuana and Outcomes in Trauma Patients,https://pubmed.ncbi.nlm.nih.gov/32818783/,Positive,,Meta-analysis,2019,,,Cardiovascular Diseases (CVD); Reperfusion Injury; Wound Healing
20211270,Synthetic Cannabinoids Induce Autophagy and Mitochondrial Apoptotic Pathways in Human Glioblastoma Cells Independently of Deficiency in TP53 or PTEN Tumor Suppressors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7865605/,Positive,,Laboratory Study,2021,JWH-x Synthetic Cannabinoids; WIN-x Synthetic Cannabinoids,,Cancer - Brain; Cancer
20211271,Natural Cannabinoids as Templates for Sleep Disturbances Treatments,https://pubmed.ncbi.nlm.nih.gov/33537941/,Positive,,Meta-analysis,2021,,Nervous System,Insomnia and Sleep Disorders
20211272,The Effect of Cannabinoids on the Brain's Circadian Clock,https://pubmed.ncbi.nlm.nih.gov/33537942/,Inconclusive,,Meta-analysis,2021,,,Insomnia and Sleep Disorders
2020383,Cannabinoids: A New Perspective on Epileptogenesis and Seizure Treatment in Early Life in Basic and Clinical Studies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7835327/,Positive,,Meta-analysis,2020,,Nervous System,Epilepsy
20211273,Understanding the possible role of endocannabinoid system in obesity,https://pubmed.ncbi.nlm.nih.gov/33249225/,Positive,,Meta-analysis,2021,Endocannabinoid (unspecified),Endocrine System,Metabolic Syndrome; Obesity
20211274,CB 1 allosteric modulators and their therapeutic potential in CNS disorders,https://pubmed.ncbi.nlm.nih.gov/33152384/,Positive,,Meta-analysis,2021,Synthetic Cannabinoid (unspecified),,
20211275,Nephrologist Views Regarding Cannabinoid Use in Advanced Chronic Kidney Disease and Dialysis: A Survey,https://pubmed.ncbi.nlm.nih.gov/32805405/,Positive,,Meta-analysis,2021,,Urinary System,Chronic Kidney Disease; Hemodialysis; Cancer - Kidney; Cancer; Diabetic Kidney Disease; Kidney Failure; Kidney Stones
20211276,Unveiling the mechanism of action behind the anti-cancer properties of cannabinoids in ER + breast cancer cells: Impact on aromatase and steroid receptors,https://pubmed.ncbi.nlm.nih.gov/33722705/,Positive,,Laboratory Study,2021,Anandamide (AEA); Tetrahydrocannabinol (THC),Reproductive System,Cancer - Breast; Cancer
20211277,Disentangling the lasting effects of adolescent cannabinoid exposure,https://pubmed.ncbi.nlm.nih.gov/32791165/,Negative,,Meta-analysis,2021,,Mental/Emotional System,Cannabis Adverse Effects
20211278,Molecular Mechanisms for the Inflammation-Resolving Actions of Lenabasum,https://pubmed.ncbi.nlm.nih.gov/33239333/,Positive,,Meta-analysis,2021,Synthetic Cannabinoid (unspecified),Nervous System,Inflammation; Lupus; Systemic Sclerosis
20211279,High and Mighty? Cannabinoids and the microbiome in pain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7905370/,Positive,,Meta-analysis,2021,Endocannabinoid (unspecified); Microbiome,,Pain - Chronic; Inflammation; Pain; Pain - Acute
20211280,Cannabinoid signalling and effects of cannabis on the male reproductive system,https://pubmed.ncbi.nlm.nih.gov/33214706/,Inconclusive,,Meta-analysis,2021,Endocannabinoid (unspecified),Reproductive System,Infertility (Male); Erectile Dysfunction; Libido
20211281,Antinociception mechanisms of action of cannabinoid-based medicine: an overview for anesthesiologists and pain physicians,https://pubmed.ncbi.nlm.nih.gov/33239391/,Positive,,Meta-analysis,2021,,,Inflammation; Pain; Pain - Acute; Pain - Chronic; Pain - Neuropathy - Inflammatory Polyneuropathy
20211282,Cannabinoids modulate food preference and consumption in Drosophila melanogaster,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7907270/,Positive,,Animal Study,2021,Anandamide (AEA); 2-Arachidonoyl Glycerol (2-AG); AM-x Synthetic Cannabinoids; Cannabichromene (CBC); Cannabigerol (CBG); CP-x Synthetic Cannabinoids; WIN-x Synthetic Cannabinoids,,Metabolic Syndrome; Obesity
20211283,Cannabinoids for major neurocognitive disorder: case report and literature review,https://pubmed.ncbi.nlm.nih.gov/33648697/,Positive,,Meta-analysis,2021,,Nervous System,Neurodegenerative Issues
20211284,"Cannabinoids, the endocannabinoid system, and pain: a review of preclinical studies",https://pubmed.ncbi.nlm.nih.gov/33729211/,Positive,,Meta-analysis,2021,,Nervous System,Pain - Nociceptive; Pain; Pain - Chronic; Pain - Inflammatory; Pain - Neuropathy - Peripheral
20211285,Therapeutic potential of cannabinoids in combination cancer therapy,https://pubmed.ncbi.nlm.nih.gov/33422460/,Positive,,Meta-analysis,2021,,Nervous System,Cancer
20211286,"Overview of Synthetic Cannabinoids ADB-FUBINACA and AMB-FUBINACA: Clinical, Analytical, and Forensic Implications",https://pubmed.ncbi.nlm.nih.gov/33669071/,Negative,,Meta-analysis,2021,Synthetic Cannabinoid (unspecified),Nervous System,Poisoning by Synthetic Cannabis
20211287,Cannabinoids in glioblastoma multiforme-hype or hope?,https://pubmed.ncbi.nlm.nih.gov/33623077/,Positive,,Meta-analysis,2021,,Nervous System,Cancer - Brain; Cancer
20211288,Emerging potential of cannabidiol in reversing proteinopathies,https://pubmed.ncbi.nlm.nih.gov/33181336/,Positive,,Meta-analysis,2021,,,Alzheimer's Disease; Amyotrophic Lateral Sclerosis (ALS); Huntington's Disease; Multiple Sclerosis; Parkinson's Disease
20211289,Consensus-based recommendations for titrating cannabinoids and tapering opioids for chronic pain control,https://pubmed.ncbi.nlm.nih.gov/33249713/,Positive,,Meta-analysis,2021,,Nervous System,Pain; Pain - Chronic; Addiction - Opioid
2020384,"The Long-Term, Prospective, Therapeutic Impact of Cannabis on Post-Traumatic Stress Disorder",https://www.liebertpub.com/doi/10.1089/can.2020.0056,Positive,,Meta-analysis,2020,,Mental/Emotional System; Nervous System,PTSD
20211290,The short-term impact of 3 smoked cannabis preparations versus placebo on PTSD symptoms: A randomized cross-over clinical trial,https://pubmed.ncbi.nlm.nih.gov/33730032/,Positive,,Double Blind Clinical Trial,2021,,Mental/Emotional System; Nervous System,PTSD
20211291,Potential of cannabinoids as treatments for autism spectrum disorders,https://pubmed.ncbi.nlm.nih.gov/33689997/,Positive,,Meta-analysis,2021,,Mental/Emotional System,Autism
20211292,"Recent Advances in the Potential of Cannabinoids for Neuroprotection in Alzheimer's, Parkinson's, and Huntington's Diseases",https://pubmed.ncbi.nlm.nih.gov/33332005/,Positive,,Meta-analysis,2021,,Nervous System,Alzheimer's Disease; Huntington's Disease; Parkinson's Disease
20211293,Cannabinoids for the Treatment of Opioid Use Disorder: Where is the Evidence?,https://pubmed.ncbi.nlm.nih.gov/32909980/,Positive,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Addiction - Opioid; Addiction
20211294,Cannabinoids for Agitation in Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/33573996/,Positive,,Meta-analysis,2021,,Nervous System,Alzheimer's Disease; Dementia
20211295,The Role of Cannabinoids as Anticancer Agents in Pediatric Oncology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7796497/,Inconclusive,,Meta-analysis,2021,,Nervous System,Cancer; Cancer - Brain; Cancer - Leukemia; Cancer - Neuroblastoma; Cancer - Soft Tissues
20211296,Cannabinoids and orthopedic surgery: a systematic review of therapeutic studies,https://pubmed.ncbi.nlm.nih.gov/33446183/,Positive,,Meta-analysis,2021,,,Pain; Pain - Acute
20211297,Cannabinoids in the management of frontotemporal dementia: a case series,https://pubmed.ncbi.nlm.nih.gov/33190583/,Positive,,Meta-analysis,2021,,Nervous System,Dementia; Alzheimer's Disease; OCD
20211298,Healing autism spectrum disorder with cannabinoids: a neuroinflammatory story,https://pubmed.ncbi.nlm.nih.gov/33358985/,Positive,,Meta-analysis,2021,,Mental/Emotional System; Nervous System,Autism
